from,to,interaction_type,n_references,curation_effort,is_stimulation,consensus_stimulation,is_inhibition,consensus_inhibition,is_directed,consensus_direction,PMDI_interaction
7SK,CDK9,lncrna_post_transcriptional,1,1,0,0,0,0,1,0,21098020
7SK,HEXIM1,lncrna_post_transcriptional,10,10,0,0,0,0,1,0,15201869;15994294;17671421;18407829;19239885;19244621;20675720;20808803;20926576;22609015
7SK,HMGA1,lncrna_post_transcriptional,3,3,0,0,0,0,1,0,21087998;21282977;21957495
7SK,LARP7,lncrna_post_transcriptional,5,5,0,0,0,0,1,0,18249148;18281698;18483487;21853533;22488152
7SK,MEPCE,lncrna_post_transcriptional,1,1,0,0,0,0,1,0,17643375
7SK,TAT,lncrna_post_transcriptional,2,2,0,0,0,0,1,0,20471949;20976203
7SL,APOBEC3F,lncrna_post_transcriptional,1,1,0,0,0,0,1,0,18067920
7SL,SRP19,lncrna_post_transcriptional,1,1,0,0,0,0,1,0,2460823
7SL,SRP54,lncrna_post_transcriptional,1,1,0,0,0,0,1,0,1702385
7SL,UCN2,lncrna_post_transcriptional,1,1,0,0,0,0,1,0,6196367
A0A059VC25,ACTN1,post_translational,0,0,0,0,0,0,1,0,
A0A059VC25,PTK2,post_translational,1,1,0,0,0,0,1,0,7509446
A0A059VC25,PXN,post_translational,0,0,0,0,0,0,1,0,
A0A059VC25,SH3GL1,post_translational,0,0,0,0,0,0,1,0,
A0A087WWS6,IFNAR1,post_translational,0,0,0,0,0,0,1,0,
A0A087WWS6,IFNAR2,post_translational,2,1,0,0,0,0,1,0,8969169
A0A0A0MR89,NLGN1,post_translational,0,0,0,0,0,0,1,0,
A0A0A0MR89,NLGN2,post_translational,0,0,0,0,0,0,1,0,
A0A0C4DG17,PRND,post_translational,0,0,0,0,0,0,1,0,
A0A0S2Z3I6,ADRA2A,post_translational,0,0,0,0,0,0,1,0,
A0A0S2Z3I6,BDKRB2,post_translational,0,0,0,0,0,0,1,0,
A0A0S2Z3I6,FPR1,post_translational,0,0,0,0,0,0,1,0,
A0A0S2Z3I6,MC4R,post_translational,0,0,0,0,0,0,1,0,
A0A0S2Z3I6,OPRD1,post_translational,0,0,0,0,0,0,1,0,
A0A0S2Z3I6,OPRM1,post_translational,0,0,0,0,0,0,1,0,
A0A0S2Z3I6,PDE6G,post_translational,0,0,0,0,0,0,1,0,
A0A0S2Z3I6,RPLP2,post_translational,0,0,0,0,0,0,1,0,
A0A0S2Z3I6,SNCA,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,ABL1,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,ANXA1,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,BCR,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,BTK,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,CASP9,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,CAT,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,CDK5,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,CRK,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,CRKL,post_translational,1,1,0,0,0,0,1,0,9710592
A0A173G4P4,MDM2,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,MUC1,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,NFKBIA,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,PLSCR1,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,PLSCR4,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,PRKD1,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,PSTPIP1,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,PTPN6,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,RAD51,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,RAD52,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,RAD9A,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,TOP1,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,TP73,post_translational,0,0,0,0,0,0,1,0,
A0A173G4P4,WASF2,post_translational,0,0,0,0,0,0,1,0,
A1BG,PPP1R13B,post_translational,0,0,1,1,0,0,1,1,
A1CF,PLN,post_translational,1,1,0,0,0,0,1,0,23220155
A2M,CHAT,post_translational,0,0,0,0,1,1,1,1,
A2M,F2,post_translational,0,0,0,0,1,1,1,1,
A2M,KLK3,post_translational,4,4,0,0,1,1,1,1,1702714;25241761;8583572
A2M,LRP1,post_translational,11,8,1,1,0,0,1,1,10652313;12194978;1702392;19026743
A2M,MMP2,post_translational,5,5,0,0,1,1,1,1,25241761;9344465
A2M,MMP9,post_translational,1,1,0,0,1,1,1,1,9344465
A2M,PLG,post_translational,0,0,0,0,1,1,1,1,
A2M,PROC,post_translational,0,0,0,0,1,1,1,1,
A2M,PROS1,post_translational,0,0,0,0,1,1,1,1,
A9UF07,ABL1,post_translational,2,2,0,0,0,0,1,0,17164333;21347248
A9UF07,BCR,post_translational,10,10,0,0,0,0,1,0,11376433;12124177;8112292;8622703;8955135;9178913;9407116;9467953;9747873
A9UF07,CHCHD2,post_translational,0,0,0,0,0,0,1,0,
A9UF07,CRKL,post_translational,8,8,0,0,0,0,1,0,10608804;15256422;16424036;19061839;20697350;34921014;9053848;9710592
A9UF07,GRB2,post_translational,1,1,0,0,0,0,1,0,11726515
A9UF07,LASP1,post_translational,0,0,0,0,0,0,1,0,
A9UF07,RAD51,post_translational,0,0,0,0,0,0,1,0,
A9UF07,RAD52,post_translational,3,3,0,0,0,0,1,0,12379650;21804533;23836560
A9UF07,RHOA,post_translational,1,1,0,0,0,0,1,0,23027962
AAAS,ALYREF,post_translational,0,0,1,1,0,0,1,1,
AAAS,CPSF1,post_translational,0,0,1,1,0,0,1,1,
AAAS,CPSF2,post_translational,0,0,1,1,0,0,1,1,
AAAS,CPSF3,post_translational,0,0,1,1,0,0,1,1,
AAAS,DDX20,post_translational,0,0,1,1,0,0,1,1,
AAAS,EIF4E,post_translational,0,0,1,1,0,0,1,1,
AAAS,GCK,post_translational,0,0,1,1,0,0,1,1,
AAAS,GCKR,post_translational,0,0,1,1,0,0,1,1,
AAAS,GEMIN2,post_translational,0,0,1,1,0,0,1,1,
AAAS,GEMIN5,post_translational,0,0,1,1,0,0,1,1,
AAAS,GEMIN6,post_translational,0,0,1,1,0,0,1,1,
AAAS,GEMIN7,post_translational,0,0,1,1,0,0,1,1,
AAAS,KPNA1,post_translational,0,0,1,1,0,0,1,1,
AAAS,KPNB1,post_translational,0,0,1,1,0,0,1,1,
AAAS,MAGOH,post_translational,0,0,1,1,0,0,1,1,
AAAS,NCBP1,post_translational,0,0,1,1,0,0,1,1,
AAAS,NCBP2,post_translational,0,0,1,1,0,0,1,1,
AAAS,NXF1,post_translational,0,0,1,1,0,0,1,1,
AAAS,RAN,post_translational,0,0,1,1,0,0,1,1,
AAAS,RBM8A,post_translational,0,0,1,1,0,0,1,1,
AAAS,RNPS1,post_translational,0,0,1,1,0,0,1,1,
AAAS,SLBP,post_translational,0,0,1,1,0,0,1,1,
AAAS,SMN1,post_translational,0,0,1,1,0,0,1,1,
AAAS,SNRPB,post_translational,0,0,1,1,0,0,1,1,
AAAS,SNRPD1,post_translational,0,0,1,1,0,0,1,1,
AAAS,SNRPD2,post_translational,0,0,1,1,0,0,1,1,
AAAS,SNRPD3,post_translational,0,0,1,1,0,0,1,1,
AAAS,SNRPE,post_translational,0,0,1,1,0,0,1,1,
AAAS,SNRPF,post_translational,0,0,1,1,0,0,1,1,
AAAS,SNRPG,post_translational,0,0,1,1,0,0,1,1,
AAAS,SRRM1,post_translational,0,0,1,1,0,0,1,1,
AAAS,UPF3B,post_translational,0,0,1,1,0,0,1,1,
AAAS,XPO1,post_translational,0,0,1,1,0,0,1,1,
AADAT,RANBP2,post_translational,1,1,0,0,0,0,1,0,20068231
AAK1,AP1M1,post_translational,3,3,1,1,0,0,1,1,11877461
AAK1,AP2M1,post_translational,11,11,1,1,0,0,1,1,11877457;11877461;25852190;31905947;33137362;33961781;34315807
AAK1,ATP1A3,post_translational,1,1,0,0,0,0,1,0,30623173
AAK1,NUMB,post_translational,4,5,1,1,0,0,1,1,18657069
AAK1,SOX2,post_translational,0,0,1,1,0,0,1,1,
AANAT,MTNR1A,post_translational,7,5,1,1,0,0,1,1,12943195
AANAT,MTNR1B,post_translational,4,3,1,1,0,0,1,1,12943195
AASDHPPT,FASN,post_translational,1,1,0,0,0,0,1,0,18022563
AATF,BAX,transcriptional,2,2,0,0,1,1,1,1,22909821
AATF,CDKN1A,transcriptional,1,1,0,0,0,0,1,0,17157788
AATF,KLK3,transcriptional,2,2,1,1,0,0,1,1,23146908
AATF,MYC,transcriptional,1,1,1,1,0,0,1,1,20549547
AATF,TP53,transcriptional,1,1,0,0,0,0,1,0,17157788
AATK,CDK5R1,post_translational,4,4,1,1,0,0,1,1,14521924;23331499
AATK,STK39,post_translational,3,3,0,0,1,1,1,1,14563843;17267545;23331499
ABCA1,APOA1,post_translational,7,7,1,0,0,0,1,0,12084722;15347662;22271762;30458687
ABCA1,APOC3,post_translational,0,0,1,1,0,0,1,1,
ABCA1,JAK2,post_translational,0,0,1,1,0,0,1,1,
ABCA1,LDLR,post_translational,0,0,0,0,1,1,1,1,
ABCA1,MEGF10,post_translational,1,1,1,0,0,0,1,0,17205124
ABCA1,SHANK1,post_translational,1,1,0,0,0,0,1,0,16192279
ABCA7,APOA1,post_translational,1,1,1,1,0,0,1,1,12917409
ABCB1,ABCC1,post_translational,0,0,0,0,1,1,1,1,
ABCB1,CLCN3,post_translational,1,1,0,0,0,0,1,0,26877779
ABCB1,CYP3A4,post_translational,0,0,1,1,0,0,1,1,
ABCB1,SRC,post_translational,1,1,0,0,0,0,1,0,26877779
ABCB1,TP53,post_translational,0,0,0,0,1,0,1,0,
ABCC3,ALB,post_translational,0,0,1,1,0,0,1,1,
ABCC5,AR,post_translational,1,1,0,0,0,0,1,0,33994848
ABCC8,NPPA,post_translational,0,0,1,1,0,0,1,1,
ABCC8,TP53,post_translational,1,1,0,0,0,0,1,0,24474649
ABCF2,CASP9,post_translational,0,0,0,0,1,1,1,1,
ABCG1,TMEM132D,post_translational,0,0,1,1,0,0,1,1,
ABCG2,EGFR,post_translational,1,1,0,0,0,0,1,0,21731744
ABHD5,PNPLA2,post_translational,4,4,1,1,0,0,1,1,17189257;23297223
ABHD5,RPS6KB1,post_translational,1,1,0,0,0,0,1,0,33219129
ABI1,ABL1,post_translational,40,40,1,0,0,0,1,0,11163214;11418237;12591740;12672821;17101133;17145710;18328268;20598684;21320496;23331499;23740246;7590237;8943360;9010225;9593709
ABI1,ACTR2,post_translational,0,0,1,1,0,0,1,1,
ABI1,ACTR3,post_translational,0,0,1,1,0,0,1,1,
ABI1,ARPC1B,post_translational,0,0,1,1,0,0,1,1,
